#Name RAmax RAmin DECmax DECmin
truth00_Oii 90.0 60.0 -59.6503 -61.0001
truth01_Oii 90.0 60.0 -58.3341 -59.6503
truth02_Oii 90.0 60.0 -57.1203 -58.3341
truth03_Oii 90.0 60.0 -55.961 -57.1203
truth04_Oii 90.0 60.0 -54.8001 -55.961
truth05_Oii 90.0 60.0 -53.6146 -54.8001
truth06_Oii 90.0 60.0 -52.471 -53.6146
truth07_Oii 90.0 60.0 -51.3567 -52.471
truth08_Oii 90.0 60.0 -50.3183 -51.3567
truth09_Oii 90.0 60.0 -49.2476 -50.3183
truth10_Oii 90.0 60.0 -48.2226 -49.2476
truth11_Oii 89.9999 60.0 -47.2199 -48.2226
truth12_Oii 90.0 60.0 -46.2696 -47.2199
truth13_Oii 90.0 59.9999 -45.3419 -46.2696
truth14_Oii 90.0 60.0 -44.4127 -45.3419
truth15_Oii 89.9999 60.0 -43.471 -44.4127
truth16_Oii 90.0 60.0 -42.583 -43.471
truth17_Oii 89.9999 60.0 -41.6909 -42.583
truth18_Oii 90.0 60.0 -40.8488 -41.6909
truth19_Oii 90.0 60.0 -40.0 -40.8488
