#name RAmax RAmin DECmax DECmin
0 360.0 5.6857e-06 89.9962 78.285
1 249.083 78.45 89.9989 78.265
112 11.2497 0.000167467 48.155 35.696
113 22.5171 11.2545 48.1513 35.6809
114 33.7522 22.5087 48.1435 35.6966
115 44.99 33.7546 48.1421 35.6868
116 56.2487 44.9856 48.1502 35.6961
117 67.5205 56.2516 48.1513 35.6976
118 78.7603 67.511 48.1385 35.7038
119 90.0409 78.7499 48.1392 35.7026
12 360.0 5.3008e-06 78.2995 66.4469
120 101.262 89.997 48.1313 35.6936
121 112.494 101.26 48.1298 35.6943
122 123.765 112.497 48.1307 35.6832
123 135.002 123.768 48.1467 35.6832
124 146.275 135.005 48.1308 35.6757
125 157.504 146.272 48.1322 35.6772
126 168.758 157.494 48.1332 35.6793
127 180.004 168.751 48.1288 35.6824
13 59.9806 30.0101 78.2876 66.4508
14 90.058 60.0055 78.2851 66.451
144 5.62942 0.0012749 41.8291 30.0105
145 16.904 5.6328 41.8319 29.9897
146 28.1514 16.8847 41.8193 30.0069
147 39.3724 28.1385 41.8266 30.0078
148 50.6089 39.3789 41.8212 30.0121
149 61.8899 50.6129 41.8171 30.0102
15 120.007 89.9748 78.2869 66.4359
150 73.1753 61.8816 41.8262 30.0036
151 84.3694 73.131 41.8077 30.0082
152 95.626 84.361 41.8088 30.0082
153 106.88 95.6341 41.8253 30.0101
154 118.133 106.888 41.806 30.006
155 129.383 118.136 41.7953 30.0048
156 140.635 129.386 41.7996 29.9978
157 151.892 140.639 41.8101 30.0052
158 163.124 151.891 41.8009 30.005
159 174.373 163.126 41.7999 30.011
16 149.995 120.007 78.2819 66.4252
160 180.004 174.356 41.8101 30.009
17 180.016 150.012 78.2813 66.4295
176 11.2797 0.012121 35.6975 24.6126
177 22.4971 11.2614 35.6817 24.632
178 33.7616 22.4969 35.6896 24.6406
179 44.9876 33.7507 35.6899 24.633
180 56.2524 44.975 35.7037 24.6455
181 67.5285 56.2488 35.6941 24.6341
182 78.7511 67.505 35.7013 24.6312
183 89.9998 78.756 35.7044 24.6332
184 101.264 90.0076 35.6949 24.6353
185 112.502 101.261 35.69 24.6317
186 123.756 112.497 35.6804 24.6271
187 135.009 123.755 35.6756 24.6342
188 146.258 135.002 35.6728 24.6339
189 157.503 146.252 35.68 24.63
190 168.737 157.504 35.6843 24.6334
191 179.989 168.73 35.6934 24.6294
208 360.0 2.93099e-05 30.0027 19.4703
209 16.8734 5.63375 29.9966 19.4823
210 28.1318 16.8785 30.0036 19.4802
211 39.3704 28.1423 30.0137 19.4787
212 50.6202 39.371 30.0072 19.4832
213 61.912 50.6105 30.007 19.4839
214 73.1319 61.8789 30.0047 19.4841
215 84.3691 73.1304 30.0026 19.4945
216 95.6327 84.365 30.007 19.4768
217 106.884 95.6304 30.0111 19.4634
218 118.136 106.881 30.0139 19.4653
219 129.387 118.135 30.0108 19.4765
220 140.627 129.388 29.9965 19.4819
221 151.878 140.623 30.0019 19.4684
222 163.13 151.86 30.0179 19.4763
223 174.364 163.134 30.0065 19.4839
224 180.0 174.347 30.0066 19.4825
24 360.0 3.98072e-06 72.3821 60.4276
240 11.2527 0.015008 24.6224 14.4831
241 22.504 11.2537 24.6323 14.4761
242 33.7504 22.5035 24.6294 14.4833
243 44.994 33.7545 24.6453 14.481
244 56.2505 44.9954 24.6421 14.4792
245 67.505 56.2538 24.6503 14.4867
246 78.7533 67.4966 24.637 14.4887
247 90.0137 78.756 24.6346 14.485
248 101.278 90.012 24.6354 14.4815
249 112.51 101.26 24.6285 14.4847
25 45.0173 22.513 72.3814 60.4327
250 123.758 112.512 24.623 14.476
251 134.999 123.76 24.6334 14.4765
252 146.254 134.978 24.6448 14.4813
253 157.506 146.253 24.6428 14.4766
254 168.747 157.507 24.6394 14.4835
255 179.987 168.745 24.6261 14.4797
26 67.5008 45.0083 72.3736 60.4227
27 90.0734 67.4979 72.3926 60.4507
272 360.0 6.64953e-07 19.4699 9.60496
273 16.88 5.61755 19.4949 9.60408
274 28.1373 16.879 19.4872 9.60432
275 39.3699 28.1284 19.4757 9.60211
276 50.6167 39.3598 19.4857 9.58871
277 61.8809 50.6195 19.4923 9.5995
278 73.1486 61.8782 19.4954 9.59404
279 84.4004 73.1337 19.5008 9.60254
28 112.515 89.9831 72.3931 60.4205
280 95.6469 84.3913 19.4731 9.60243
281 106.886 95.6374 19.4711 9.60382
282 118.128 106.883 19.4605 9.60235
283 129.386 118.131 19.4696 9.59425
284 140.631 129.388 19.494 9.59683
285 151.874 140.632 19.4702 9.59388
286 163.125 151.875 19.4752 9.59041
287 174.367 163.134 19.4869 9.60386
288 180.001 174.368 19.4768 9.60426
29 134.997 112.518 72.3935 60.4185
30 157.508 134.975 72.3883 60.3912
304 11.2559 0.00944346 14.4782 4.78801
305 22.4982 11.2558 14.4786 4.78504
306 33.7485 22.5046 14.4817 4.78754
307 45.0113 33.7471 14.4815 4.77848
308 56.2611 45.0068 14.478 4.77036
309 67.4992 56.2486 14.4859 4.7813
31 180.021 157.515 72.3872 60.4122
310 78.7709 67.5051 14.5077 4.77144
311 90.0199 78.7721 14.4811 4.78531
312 101.256 90.0129 14.4802 4.78969
313 112.504 101.258 14.4873 4.79013
314 123.754 112.501 14.473 4.79772
315 135.003 123.745 14.4754 4.78433
316 146.254 135.007 14.4801 4.78766
317 157.5 146.258 14.4713 4.77862
318 168.748 157.504 14.4903 4.75586
319 179.986 168.748 14.4938 4.78843
336 360.0 8.40759e-07 9.60209 0.0051522
337 16.8974 5.62637 9.6046 0.00197337
338 28.1258 16.8802 9.59906 -0.00337771
339 39.3822 28.1316 9.60637 -0.00299649
340 50.6165 39.3804 9.58974 0.00973611
341 61.8727 50.6199 9.60228 0.001031
342 73.1467 61.8764 9.59433 0.000367731
343 84.3954 73.1348 9.60321 0.00609407
344 95.633 84.3851 9.60647 0.0164497
345 106.882 95.6381 9.60639 0.0126705
346 118.137 106.885 9.60449 0.0113183
347 129.379 118.132 9.59086 0.00618288
348 140.635 129.384 9.60356 0.00628981
349 151.875 140.641 9.59431 0.00686724
350 163.12 151.884 9.5907 0.000317299
351 174.368 163.109 9.60671 -0.0129983
352 180.012 174.352 9.61074 0.00540178
368 359.997 0.00129627 4.79329 -0.00892397
369 22.5179 11.2576 4.78217 -0.00848941
370 33.7434 22.5131 4.78358 -0.010865
371 44.9927 33.758 4.78437 -0.012057
372 56.2469 44.9947 4.77655 -0.00472905
373 67.4987 56.2439 4.77734 -0.0112938
374 78.7499 67.5026 4.78108 -0.00807207
375 90.0102 78.754 4.797 -0.0106665
376 101.261 90.0158 4.80499 0.00072775
377 112.511 101.267 4.80633 0.0016146
378 123.759 112.503 4.79466 -0.000922029
379 134.997 123.764 4.7791 0.000468135
380 146.259 134.999 4.79002 -0.00899048
381 157.495 146.263 4.77454 -0.001016
382 168.736 157.501 4.77717 -0.0246782
383 180.002 168.74 4.80812 -0.0181375
4 360.0 3.95944e-05 84.1589 72.3836
40 360.0 0.000159728 66.4426 54.353
41 35.9976 18.0219 66.447 54.3375
42 54.0204 36.0121 66.4451 54.3234
43 71.9935 54.0093 66.4486 54.3348
44 90.1047 72.0023 66.4494 54.328
45 108.018 89.9944 66.446 54.3423
46 126.002 108.018 66.442 54.3466
47 144.009 126.002 66.4478 54.3423
48 162.012 143.977 66.4366 54.3139
49 180.013 162.015 66.4371 54.3228
5 90.047 45.0236 84.1487 72.3751
6 135.043 89.9528 84.1476 72.3591
60 360.0 0.000131748 60.4307 48.151
61 30.0143 15.016 60.4319 48.1218
62 45.0168 30.0079 60.4344 48.138
63 59.9825 44.998 60.4329 48.1483
64 75.0138 59.9848 60.4389 48.1497
65 90.0913 74.9993 60.4294 48.1271
66 105.006 89.9966 60.4304 48.1339
67 120.002 105.01 60.436 48.1394
68 135.007 120.007 60.4342 48.1438
69 150.012 135.006 60.4312 48.1315
7 180.043 135.013 84.1482 72.3778
70 165.011 150.016 60.4239 48.1331
71 180.01 165.019 60.4253 48.1291
84 360.0 9.7601e-05 54.3438 41.8306
85 25.7293 12.8631 54.3462 41.8205
86 38.5786 25.7223 54.3465 41.827
87 51.4191 38.5781 54.326 41.8268
88 64.3055 51.4183 54.3336 41.824
89 77.1601 64.2956 54.335 41.8263
90 90.0551 77.1355 54.3386 41.8009
91 102.853 89.9997 54.3399 41.8175
92 115.717 102.836 54.3358 41.806
93 128.582 115.719 54.3395 41.7966
94 141.451 128.584 54.3353 41.801
95 154.295 141.453 54.3244 41.8037
96 167.157 154.295 54.3274 41.8059
97 180.005 167.154 54.3238 41.8101
