#name RAmax RAmin DECmax DECmin
truth0 22.4794 14.2071 3.4525 -4.87658
truth1 30.7919 22.4495 3.45713 -4.82174
truth112 340.568 328.475 2.46094 -6.14411
truth113 341.646 329.994 -6.04206 -14.2801
truth114 344.191 332.721 -14.2333 -22.0174
truth115 348.354 336.86 -21.8342 -29.2185
truth116 354.318 342.841 -28.488 -36.3691
truth117 2.22594 351.13 -33.7875 -42.9186
truth118 11.8491 0.626658 -37.2277 -47.8499
truth119 22.6316 11.0352 -38.4106 -50.5142
truth12 10.7395 0.711204 3.3472 -5.66059
truth120 34.2038 22.5978 -38.4185 -50.4824
truth121 44.5685 33.3162 -37.1791 -47.7269
truth122 54.0851 42.9492 -33.6806 -42.7507
truth123 62.299 50.7844 -28.3271 -36.1667
truth124 68.2192 56.7006 -21.6424 -29.0287
truth125 72.3233 60.8269 -14.0307 -21.8
truth126 74.993 63.3405 -5.82432 -14.0504
truth127 76.4865 64.3863 2.67633 -5.91124
truth13 14.205 5.64003 -4.86453 -13.1639
truth14 22.525 13.2551 -8.2649 -18.2859
truth144 334.244 322.433 2.17578 -2.67403
truth145 335.188 323.422 -2.67747 -11.7034
truth146 337.26 325.476 -11.6849 -20.4489
truth147 340.623 328.778 -20.4385 -28.7484
truth148 345.457 333.74 -28.7507 -36.3722
truth149 352.063 341.015 -35.4198 -43.6409
truth15 31.802 22.4878 -8.26303 -18.2431
truth150 2.15815 351.083 -40.3903 -50.3256
truth151 15.4664 2.09602 -43.6316 -54.9015
truth152 29.8521 15.458 -44.741 -56.5414
truth153 43.1871 29.8615 -43.546 -54.8026
truth154 54.1469 43.1868 -40.2776 -50.1376
truth155 64.1619 53.0865 -35.2677 -43.4283
truth156 71.3582 59.6392 -28.5178 -36.168
truth157 76.2584 64.4415 -20.1769 -28.5156
truth158 79.521 67.758 -11.4274 -20.1788
truth159 81.5242 69.8075 -2.41546 -11.4255
truth16 39.3781 30.7694 -4.81797 -13.0972
truth160 82.5027 70.7051 2.41996 -2.42805
truth17 44.2799 34.1996 3.4103 -5.53943
truth176 328.477 317.434 1.57553 -8.12888
truth177 329.992 318.893 -8.11063 -17.6302
truth178 332.719 321.374 -17.631 -26.8877
truth179 336.863 325.206 -26.8811 -35.6359
truth180 342.841 331.041 -35.6281 -43.6312
truth181 351.467 339.908 -42.9194 -50.9595
truth183 22.711 5.63288 -50.5106 -61.4186
truth184 39.7729 22.7232 -50.4802 -61.3572
truth185 53.8332 39.7685 -47.7315 -57.4002
truth186 65.3426 53.808 -42.7526 -50.7412
truth187 74.0912 62.2986 -35.4079 -43.4106
truth188 79.8505 68.2209 -26.6209 -35.4132
truth189 83.6473 72.3185 -17.3631 -26.6257
truth190 86.0799 74.9882 -7.83802 -17.3582
truth191 87.4989 76.4739 1.85331 -7.84186
truth208 322.426 311.908 1.58225 -3.81674
truth209 323.423 312.885 -3.8138 -13.9276
truth210 325.472 314.642 -13.9323 -23.8879
truth211 328.79 317.439 -23.8978 -33.5348
truth212 333.736 321.766 -33.5297 -42.6744
truth213 341.021 328.546 -42.6656 -50.9366
truth214 353.317 339.529 -50.3012 -58.277
truth215 12.0229 353.289 -54.9036 -64.6026
truth216 33.4937 12.018 -56.5426 -67.0726
truth217 52.0995 33.4873 -54.7959 -64.4752
truth218 65.8131 52.0975 -50.1347 -58.0785
truth219 76.6264 64.149 -42.4183 -50.7077
truth220 83.3103 71.3527 -33.2677 -42.4221
truth221 87.5883 76.2597 -23.6018 -33.2682
truth222 90.3459 79.5059 -13.6378 -23.6107
truth223 92.0708 81.5266 -3.52732 -13.6359
truth224 93.0183 82.5047 1.86098 -3.54099
truth24 4.81304 354.339 3.24249 -5.8215
truth240 317.442 307.315 0.984652 -9.56252
truth241 318.893 308.526 -9.56198 -20.0305
truth242 321.364 310.477 -20.0326 -30.3287
truth243 325.219 313.46 -30.3314 -40.3243
truth244 331.049 318.161 -40.3252 -49.8031
