# fofid            subhaloid        galaxyid        x            y            z           redshift      velx          vely          velz          g_sdss        r_sdss        i_sdss       
  62000600000000   62000600000000   6000033005078   2.530329     1.5538971    40.759506   0.019932542   293.9451      335.56085     -310.3854     -17.156803    -17.667881    -17.908693   
  62000600000000   62000600000000   6000033004220   1.9225321    1.4782373    40.535694   0.019932542   -638.39856    321.11404     -10.746979    -15.060662    -15.863936    -16.238478   
  62000600000000   62000600000000   6000033003534   1.9198838    1.204312     40.210213   0.019932542   -723.9989     297.85208     144.26506     -19.712152    -20.532124    -20.899427   
  62000600000000   62000600000000   6000033003128   2.6240234    1.6009861    40.698734   0.019932542   -83.54023     -269.0182     135.75258     -16.268133    -16.826023    -17.07619    
  62000600000000   62000600000000   6000033001339   2.0347977    0.955468     40.247494   0.019932542   -433.5676     -89.37744     -383.6991     -14.649525    -15.530763    -15.963336   
  62000300000010   62000300000378   3000051003729   57.45995     14.560259    29.818161   0.019932542   -481.46014    -278.8158     -153.075      -19.12944     -19.910467    -20.265089   
  62000300000003   62000300000197   3000045007776   54.149227    14.538738    23.414658   0.019932542   -36.464085    -163.46245    -327.15146    -14.465879    -15.18185     -15.507082   
  62000300000000   62000300000000   3000042007043   44.343197    14.4059305   14.314178   0.019932542   -55.34485     -59.11399     -230.48355    99.0          99.0          99.0         
  62000300000000   62000300000000   3000042006019   43.940754    14.73762     13.731141   0.019932542   5.5056744     1645.1987     -626.0226     -11.387286    -11.7194805   -11.880309   
  62000300000000   62000300000000   3000042005520   44.02215     14.919052    13.659447   0.019932542   135.8203      657.823       243.05681     -15.51461     -16.26383     -16.60434    
  62000300000000   62000300000000   3000042004681   43.804993    15.140952    13.862639   0.019932542   -180.66684    279.26645     -188.70695    -15.839388    -16.681221    -17.07944    
  62000300000000   62000300000000   3000042004097   43.642975    15.112758    13.334569   0.019932542   578.14667     -196.73476    898.9515      -15.118237    -15.80936     -16.12268    
  62000300000000   62000300000000   3000042003232   43.862976    14.655441    13.096256   0.019932542   -50.856613    537.1621      628.5998      -13.75002     -14.405178    -14.6958     
  62000200000005   62000200000255   2000025005432   38.035137    36.73701     21.583166   0.019932542   -530.6602     222.59126     346.56714     -17.767147    -18.286282    -18.540993   
  62000000000003   62000000000088   3004277         9.4558525    30.162523    23.541756   0.019932542   -461.75867    -101.79334    183.62804     -17.493193    -18.0451      -18.322784   
  62000300000019   62000300000508   3000060001580   54.797825    7.840233     28.893978   0.019932542   47.20218      688.7088      -592.0257     -18.808775    -19.614084    -19.983257   
  62000300000019   62000300000508   3000060001145   54.835938    7.790024     28.824312   0.019932542   79.42816      93.09725      -389.12024    -14.690327    -15.386262    -15.699459   
  62000200000003   62000200000189   2000023004827   54.234062    50.023506    27.73015    0.019932542   -381.10043    94.73008      64.37236      -19.354956    -20.175924    -20.543806   
  62000200000003   62000200000189   2000023004371   53.704712    49.28022     27.713278   0.019932542   -162.60367    150.70396     -76.55361     -15.545476    -16.32577     -16.688398   
  62000200000003   62000200000189   2000023003890   53.72665     49.455147    27.48736    0.019932542   -34.170742    251.7554      72.17693      -15.031692    -15.658581    -15.934004   
  62000200000003   62000200000189   2000023003401   54.32604     50.48729     28.166925   0.019932542   -234.34935    -11.319071    -149.13802    -13.984558    -14.631338    -14.914726   
  62000200000003   62000200000189   2000023002882   54.203323    50.049232    27.301558   0.019932542   -7.839209     -76.29956     -1.1330162    -14.561572    -15.274502    -15.5965     
