# fofId          snapnum redshift np     numSubGroups firstSubhaloId m_mean200 r_mean200 m_crit200 r_crit200 m_tophat200 r_tophat200 x                 y                z                phkey random
  62000600000000 62      0.02     74485  59           62000600000000 6625.25   1.044535  3732.582  0.5515173 5176.333    0.7860786   2.00413465499878  1.1130336523056  40.1997146606445 32199 465   
  62000600000001 62      0.02     59847  35           62000600000059 3517.934  0.845834  2207.068  0.4629089 2890.946    0.647341    28.5612506866455  42.5172882080078 35.511157989502  26147 327   
  62000600000002 62      0.02     47795  20           62000600000094 4493.403  0.9176255 3616.652  0.5457348 4223.673    0.7344384   4.62735271453857  58.3317718505859 42.5652465820313 27548 691   
  62000600000003 62      0.02     37825  26           62000600000114 3427.565  0.8385373 2592.556  0.4884055 3079.86     0.6611224   29.0970230102539  31.1911716461182 47.8794364929199 30211 159   
  62000600000004 62      0.02     36132  16           62000600000140 3428.942  0.8386282 2830.184  0.502912  3169.196    0.6672618   30.0998859405518  44.6438293457031 44.2758483886719 26319 984   
  62000600000005 62      0.02     25648  17           62000600000156 2377.22   0.7422274 1779.15   0.4307949 2091.74     0.5811129   4.5015115737915   52.5421943664551 59.0870628356934 28124 464   
  62000600000006 62      0.02     19329  11           62000600000173 1444.268  0.6284465 1003.095  0.3558999 1233.751    0.4872026   1.02903354167938  62.3744087219238 41.3005447387695 27566 466   
  62000600000007 62      0.02     17610  8            62000600000184 1667.178  0.6594159 1294.772  0.3875081 1520.436    0.5225112   4.22313213348389  58.082462310791  58.1083030700684 28060 828   
  62000600000008 62      0.02     15521  4            62000600000192 1516.907  0.6389644 1188.309  0.3765784 1363.366    0.5038464   8.55429744720459  34.0061111450195 42.0597114562988 26772 615   
  62000700000000 62      0.02     73705  53           62000700000000 6347.773  1.029752  4471.025  0.5857258 5419.813    0.7982143   1.35354864597321  8.90093517303467 33.6416778564453 32119 664   
  62000700000001 62      0.02     46212  14           62000700000053 4491.509  0.9176128 3292.787  0.5289198 3988.8      0.7206559   6.99294567108154  7.80947256088257 33.6302070617676 32151 744   
  62000700000002 62      0.02     35565  33           62000700000067 3260.684  0.8245752 2118.851  0.4566202 2874.766    0.6461393   8.53877353668213  9.88480854034424 32.9180145263672 31893 491   
  62000700000004 62      0.02     13701  6            62000700000124 1329.026  0.6113609 1060.501  0.362553  1217.485    0.485212    28.9793434143066  24.6949577331543 44.6084442138672 30176 777   
  62000000000000 62      0.02     56502  30           62000000000000 4969.432  0.9490718 3552.877  0.5425084 4284.263    0.7380259   6.58790922164917  13.0991058349609 25.3010921478271 673   316   
  62000000000001 62      0.02     48084  43           62000000000030 4043.796  0.8859833 2367.925  0.4738735 3254.315    0.6733876   31.1744976043701  24.5177783966064 3.22648000717163 2472  61    
