#name RAmax RAmin DECmax DECmin
halos14 65.7892 339.529 -44.7772 -86.5301
halos16 112.455 70.724 2.41269 -19.7302
halos5 22.6231 339.527 -20.1299 -58.2805
halos13 345.428 295.935 -20.0348 -58.253
halos12 334.16 292.502 2.16754 -20.0218
halos20 314.626 292.478 -0.183144 -45.0209
halos21 24.3291 295.936 -45.0851 -86.5453
halos23 112.46 90.3518 0.143219 -44.6933
halos0 22.5273 345.461 3.44402 -29.1648
halos22 109.018 25.3562 -44.7707 -86.5346
halos1 59.6236 22.4604 3.45065 -28.9776
halos15 109.01 59.657 -19.7565 -58.0285
halos6 65.7831 22.5304 -20.1334 -58.0714
halos7 90.3402 46.0739 3.21752 -29.0186
halos4 358.841 314.642 3.09299 -29.2195
