#name RAmax RAmin DECmax DECmin
galaxies_10069 60.4676 59.9999 -40.0 -40.7495
galaxies_10070 63.2796 60.4705 -39.9998 -41.8087
galaxies_10071 66.0935 63.2828 -39.9999 -41.8098
galaxies_10072 68.9048 66.0954 -39.9999 -41.8102
galaxies_10073 71.7181 68.9075 -39.9999 -41.8084
galaxies_10074 74.5301 71.7205 -39.9999 -41.8072
galaxies_10075 77.3416 74.5331 -39.9999 -41.8088
galaxies_10076 80.1548 77.3445 -39.9998 -41.8098
galaxies_10077 82.9673 80.158 -39.9999 -41.8084
galaxies_10078 85.7797 82.9698 -39.9999 -41.8092
galaxies_10079 88.5926 85.782 -39.9998 -41.809
galaxies_10080 90.0 88.5946 -39.9999 -41.8047
galaxies_10197 61.8729 59.9999 -40.2304 -43.4059
galaxies_10198 64.687 61.8775 -40.2294 -43.4061
galaxies_10199 67.4998 64.6886 -40.2296 -43.4058
galaxies_10200 70.3114 67.5007 -40.2287 -43.4064
galaxies_10201 73.1242 70.3137 -40.229 -43.4049
galaxies_10202 75.9367 73.1255 -40.23 -43.404
galaxies_10203 78.7494 75.9389 -40.229 -43.4055
galaxies_10204 81.5623 78.7518 -40.2298 -43.4068
galaxies_10205 84.3743 81.5631 -40.2289 -43.4057
galaxies_10206 87.1871 84.3762 -40.2292 -43.4048
galaxies_10207 90.0 87.1884 -40.2297 -43.404
galaxies_10324 60.9676 59.9999 -42.6124 -44.9923
galaxies_10325 63.8699 60.9689 -41.8118 -44.9929
galaxies_10326 66.7728 63.8722 -41.8106 -44.9925
galaxies_10327 69.6769 66.7749 -41.8111 -44.9925
galaxies_10328 72.5801 69.6784 -41.812 -44.9917
galaxies_10329 75.4823 72.5809 -41.814 -44.9927
galaxies_10330 78.3864 75.4847 -41.8111 -44.9926
galaxies_10331 81.2897 78.3878 -41.8119 -44.9927
galaxies_10332 84.193 81.2905 -41.8109 -44.9924
galaxies_10333 87.0962 84.1938 -41.8107 -44.9915
galaxies_10334 90.0 87.0974 -41.8109 -44.9924
galaxies_10448 62.9977 60.0016 -43.4087 -46.5693
galaxies_10449 65.9991 63.0002 -43.4085 -46.5712
galaxies_10450 68.9989 66.0018 -43.4086 -46.5694
galaxies_10451 71.9979 69.0007 -43.4086 -46.5681
galaxies_10452 74.9993 72.0012 -43.4083 -46.5709
galaxies_10453 77.9992 75.0014 -43.4081 -46.5689
galaxies_10454 80.9993 78.0005 -43.4086 -46.5707
galaxies_10455 83.9989 81.0004 -43.4091 -46.5698
galaxies_10456 86.9996 84.0003 -43.4082 -46.5703
galaxies_10457 90.0 87.0004 -43.4078 -46.5711
galaxies_10567 62.0683 59.9999 -44.9984 -48.14
galaxies_10568 65.172 62.071 -44.9952 -48.14
galaxies_10569 68.2748 65.1738 -44.9957 -48.1406
galaxies_10570 71.3782 68.2769 -44.9945 -48.1406
galaxies_10571 74.4818 71.3804 -44.995 -48.1403
galaxies_10572 77.5856 74.4836 -44.9955 -48.1403
galaxies_10573 80.689 77.587 -44.9942 -48.1394
galaxies_10574 83.7929 80.6901 -44.9961 -48.1402
galaxies_10575 86.8958 83.7938 -44.9951 -48.139
galaxies_10576 90.0 86.8977 -44.9961 -48.1394
galaxies_10682 61.0683 59.9999 -47.3594 -49.7013
galaxies_10683 64.2843 61.0731 -46.5728 -49.7016
galaxies_10684 67.4988 64.287 -46.5734 -49.7008
galaxies_10685 70.7127 67.5011 -46.5725 -49.7011
galaxies_10686 73.9264 70.716 -46.5729 -49.7003
galaxies_10687 77.1422 73.9294 -46.5721 -49.7011
galaxies_10688 80.3564 77.1431 -46.5724 -49.7011
galaxies_10689 83.5703 80.358 -46.5742 -49.7015
galaxies_10690 86.7856 83.5721 -46.5733 -49.7012
galaxies_10691 90.0 86.7864 -46.5725 -49.7014
galaxies_10794 63.3326 60.0011 -48.143 -51.2538
galaxies_10795 66.6652 63.3346 -48.1433 -51.2548
galaxies_10796 69.999 66.667 -48.1418 -51.2547
galaxies_10797 73.3322 70.0005 -48.1424 -51.255
galaxies_10798 76.6649 73.3348 -48.1439 -51.2547
galaxies_10799 79.999 76.6672 -48.1425 -51.2549
galaxies_10800 83.3317 80.0009 -48.1416 -51.2541
galaxies_10801 86.6661 83.3346 -48.1417 -51.255
galaxies_10802 90.0 86.667 -48.1421 -51.255
galaxies_10901 62.307 59.9999 -49.7036 -52.801
galaxies_10902 65.7686 62.3084 -49.7042 -52.8007
galaxies_10903 69.2304 65.7713 -49.7035 -52.8017
galaxies_10904 72.6904 69.2323 -49.7033 -52.8005
galaxies_10905 76.1533 72.6927 -49.7038 -52.7994
galaxies_10906 79.6141 76.155 -49.7038 -52.8005
galaxies_10907 83.0762 79.617 -49.7062 -52.8004
galaxies_10908 86.5379 83.0779 -49.7047 -52.8004
galaxies_10909 90.0 86.5386 -49.703 -52.8012
galaxies_11004 61.1983 59.9999 -52.0322 -54.3369
galaxies_11005 64.7993 61.2001 -51.2571 -54.3402
galaxies_11006 68.3983 64.8027 -51.257 -54.3393
galaxies_11007 71.9989 68.4019 -51.2566 -54.3385
galaxies_11008 75.5999 72.001 -51.2564 -54.3405
galaxies_11009 79.1983 75.6007 -51.2574 -54.3399
galaxies_11010 82.799 79.2006 -51.2586 -54.3401
galaxies_11011 86.3998 82.8004 -51.2568 -54.3395
galaxies_11012 90.0 86.4007 -51.2566 -54.3404
galaxies_11104 63.749 60.0007 -52.803 -55.8707
galaxies_11105 67.4979 63.7516 -52.8042 -55.8727
galaxies_11106 71.2478 67.5009 -52.8043 -55.8722
galaxies_11107 74.999 71.2522 -52.8025 -55.8726
galaxies_11108 78.7495 75.0009 -52.8027 -55.8717
galaxies_11109 82.4991 78.7511 -52.8032 -55.8722
galaxies_11110 86.2496 82.501 -52.8025 -55.8726
galaxies_11111 90.0 86.2502 -52.8019 -55.8727
galaxies_11199 62.6071 59.9999 -54.3427 -57.3979
galaxies_11200 66.5203 62.6104 -54.3422 -57.3975
galaxies_11201 70.4324 66.5235 -54.3417 -57.3988
galaxies_11202 74.3469 70.4385 -54.3421 -57.3979
galaxies_11203 78.2602 74.3492 -54.3426 -57.398
galaxies_11204 82.1733 78.2629 -54.3411 -57.3982
galaxies_11205 86.0861 82.1751 -54.3411 -57.3987
galaxies_11206 90.0 86.087 -54.3428 -57.3981
galaxies_11290 61.3614 59.9999 -56.6394 -58.9166
galaxies_11291 65.4522 61.3647 -55.8749 -58.9185
galaxies_11292 69.5448 65.4569 -55.876 -58.9188
galaxies_11293 73.636 69.5468 -55.8747 -58.9192
galaxies_11294 77.7259 73.637 -55.8745 -58.9188
galaxies_11295 81.8173 77.7289 -55.8739 -58.9191
galaxies_11296 85.9084 81.8195 -55.8749 -58.9189
galaxies_11297 90.0 85.9096 -55.8751 -58.9191
galaxies_11378 64.2847 60.0019 -57.4011 -60.4332
galaxies_11379 68.5695 64.2888 -57.4001 -60.4333
galaxies_11380 72.8568 68.5736 -57.4005 -60.4302
galaxies_11381 77.1418 72.8583 -57.4017 -60.4332
galaxies_11382 81.428 77.1433 -57.4013 -60.4336
galaxies_11383 85.7131 81.429 -57.4012 -60.4334
galaxies_11384 90.0 85.7151 -57.4011 -60.4332
galaxies_11461 62.999 60.0 -58.9219 -61.0001
galaxies_11462 67.4981 63.0013 -58.9211 -61.0001
galaxies_11463 71.9993 67.5007 -58.9205 -61.0001
galaxies_11464 76.4993 72.0002 -58.9211 -61.0001
galaxies_11465 80.9978 76.5005 -58.9219 -61.0001
galaxies_11466 85.4989 81.0014 -58.9212 -61.0001
galaxies_11467 90.0 85.5008 -58.9214 -61.0001
galaxies_11541 64.1982 62.4894 -60.4352 -61.0001
galaxies_11542 68.7843 67.0732 -60.4362 -61.0001
galaxies_11543 73.3683 71.6588 -60.4357 -61.0001
galaxies_11544 77.9562 76.2447 -60.4355 -61.0001
galaxies_11545 82.5442 80.8302 -60.4361 -61.0001
galaxies_11546 87.1288 85.415 -60.4352 -61.0001
